,Date,Precipitation,Air Temperature,Relative Humidity,Wind Speed ,lag_f1
365,2019-11-26 11:00,0.0,21.7,63.3,1.3,0.0
366,2019-11-26 12:00,0.0,20.3,77.5,1.3,0.0
367,2019-11-26 13:00,0.0,18.4,93.4,1.2,0.0
368,2019-11-26 14:00,0.0,17.6,98.6,2.1,0.0
369,2019-11-26 15:00,0.0,16.9,99.9,2.2,0.0
370,2019-11-26 16:00,0.0,16.3,100.0,1.4,0.0
371,2019-11-26 17:00,0.0,15.3,100.0,0.8,0.0
372,2019-11-26 18:00,0.0,14.7,100.0,0.9,0.0
373,2019-11-26 19:00,0.0,14.4,100.0,0.9,0.0
374,2019-11-26 20:00,0.0,14.2,100.0,1.1,0.0
375,2019-11-26 21:00,0.0,13.9,100.0,0.6,0.0
376,2019-11-26 22:00,0.0,13.2,100.0,0.7,0.0
377,2019-11-26 23:00,0.0,13.2,100.0,1.1,0.0
378,2019-11-27 00:00,0.0,13.6,100.0,0.9,0.0
379,2019-11-27 01:00,0.0,13.5,100.0,0.7,0.0
380,2019-11-27 02:00,0.0,13.8,100.0,0.8,0.0
381,2019-11-27 03:00,0.0,15.8,99.9,1.0,0.0
382,2019-11-27 04:00,0.0,17.5,88.8,1.7,0.0
383,2019-11-27 05:00,0.0,18.0,86.8,1.5,0.0
384,2019-11-27 06:00,0.0,20.3,70.8,1.9,0.0
385,2019-11-27 07:00,0.0,22.2,61.0,2.0,0.0
386,2019-11-27 08:00,0.0,23.0,61.3,2.5,0.0
387,2019-11-27 09:00,0.0,23.2,61.1,2.2,0.0
388,2019-11-27 10:00,0.0,22.7,62.6,2.1,0.0
389,2019-11-27 11:00,0.0,21.4,69.5,1.6,0.0
390,2019-11-27 12:00,0.0,19.7,83.5,1.0,0.0
391,2019-11-27 13:00,0.0,18.2,98.7,1.5,0.0
392,2019-11-27 14:00,0.0,17.4,100.0,1.3,0.0
393,2019-11-27 15:00,0.0,16.6,100.0,0.6,0.0
394,2019-11-27 16:00,0.0,16.0,100.0,0.5,0.0
395,2019-11-27 17:00,0.0,15.5,100.0,1.1,0.0
396,2019-11-27 18:00,0.0,15.8,100.0,1.4,0.0
397,2019-11-27 19:00,0.0,14.9,100.0,0.8,0.0
398,2019-11-27 20:00,0.0,14.1,100.0,0.7,0.0
399,2019-11-27 21:00,0.0,14.0,100.0,0.4,0.0
400,2019-11-27 22:00,0.0,13.3,100.0,0.3,0.0
401,2019-11-27 23:00,0.0,14.7,100.0,0.7,0.0
402,2019-11-28 00:00,0.0,14.6,100.0,0.8,0.0
403,2019-11-28 01:00,0.0,14.3,100.0,0.8,0.0
404,2019-11-28 02:00,0.0,14.3,100.0,0.8,0.0
405,2019-11-28 03:00,0.0,14.5,100.0,1.1,0.0
406,2019-11-28 04:00,0.0,15.6,99.9,1.3,0.0
407,2019-11-28 05:00,0.0,17.9,92.8,1.6,0.0
408,2019-11-28 06:00,0.0,19.7,79.1,1.8,0.0
409,2019-11-28 07:00,0.0,21.1,68.2,1.9,0.0
410,2019-11-28 08:00,0.0,22.4,62.7,1.9,0.0
411,2019-11-28 09:00,0.0,22.9,61.9,2.2,0.0
412,2019-11-28 10:00,0.0,23.0,60.7,1.7,0.0
413,2019-11-28 11:00,0.0,21.9,66.8,1.7,0.0
414,2019-11-28 12:00,0.0,19.2,88.2,1.3,0.0
415,2019-11-28 13:00,0.0,17.6,100.0,1.3,0.0
416,2019-11-28 14:00,0.0,16.7,100.0,0.8,0.0
417,2019-11-28 15:00,0.0,15.9,100.0,0.8,0.0
